CRX,CRY,TimeStamp
875.7268,485.9792,28/04/2016 13:40:45.599
766.4395,569.0608,28/04/2016 13:40:45.616
759.034,572.0283,28/04/2016 13:40:45.632
755.9087,548.4355,28/04/2016 13:40:45.666
770.7589,566.5594,28/04/2016 13:40:45.649
745.3595,576.0193,28/04/2016 13:40:45.682
769.8231,560.9399,28/04/2016 13:40:45.699
778.7766,550.0621,28/04/2016 13:40:45.716
771.99,566.1627,28/04/2016 13:40:45.732
762.92,591.5265,28/04/2016 13:40:45.749
758.0519,578.9177,28/04/2016 13:40:45.766
748.8416,576.4169,28/04/2016 13:40:45.782
765.4238,573.3489,28/04/2016 13:40:45.799
782.5087,581.259,28/04/2016 13:40:45.816
674.5524,601.9413,28/04/2016 13:40:45.833
648.9646,610.5637,28/04/2016 13:40:45.849
627.5795,634.3995,28/04/2016 13:40:45.865
630.5095,621.5737,28/04/2016 13:40:45.882
614.0161,638.0471,28/04/2016 13:40:45.899
622.3762,625.2001,28/04/2016 13:40:45.915
626.3198,629.8001,28/04/2016 13:40:45.949
629.8434,623.0955,28/04/2016 13:40:45.934
631.1168,627.4469,28/04/2016 13:40:45.965
632.4872,600.698,28/04/2016 13:40:45.982
605.2052,620.2056,28/04/2016 13:40:45.999
628.662,614.403,28/04/2016 13:40:46.015
630.5106,616.5286,28/04/2016 13:40:46.032
608.9429,617.683,28/04/2016 13:40:46.049
591.3882,592.7051,28/04/2016 13:40:46.065
609.6381,602.5103,28/04/2016 13:40:46.090
638.9,613.8482,28/04/2016 13:40:46.098
622.5826,580.75,28/04/2016 13:40:46.115
639.7109,582.6962,28/04/2016 13:40:46.132
643.7579,583.0428,28/04/2016 13:40:46.148
664.7935,628.0021,28/04/2016 13:40:46.166
603.8442,606.1252,28/04/2016 13:40:46.182
621.6824,594.5271,28/04/2016 13:40:46.215
628.6588,655.3547,28/04/2016 13:40:46.232
665.5258,741.0811,28/04/2016 13:40:46.248
627.6906,747.5956,28/04/2016 13:40:46.265
636.5105,767.2816,28/04/2016 13:40:46.282
640.6703,762.4561,28/04/2016 13:40:46.298
611.5052,769.1279,28/04/2016 13:40:46.316
609.7142,761.1592,28/04/2016 13:40:46.332
614.8508,749.1411,28/04/2016 13:40:46.348
632.6633,754.8151,28/04/2016 13:40:46.365
614.666,735.9368,28/04/2016 13:40:46.382
610.421,763.877,28/04/2016 13:40:46.398
596.307,738.5554,28/04/2016 13:40:46.415
625.7001,742.7914,28/04/2016 13:40:46.432
614.2408,753.9012,28/04/2016 13:40:46.448
623.6378,752.1333,28/04/2016 13:40:46.465
644.163,741.6746,28/04/2016 13:40:46.482
606.9128,758.4742,28/04/2016 13:40:46.498
609.4299,767.1508,28/04/2016 13:40:46.515
616.1041,786.677,28/04/2016 13:40:46.531
610.913,774.5182,28/04/2016 13:40:46.548
573.7607,750.1038,28/04/2016 13:40:46.565
632.3765,753.0081,28/04/2016 13:40:46.581
617.4242,805.7734,28/04/2016 13:40:46.598
597.6185,770.9491,28/04/2016 13:40:46.615
610.4178,785.9858,28/04/2016 13:40:46.631
631.9994,764.6958,28/04/2016 13:40:46.649
628.9188,739.0419,28/04/2016 13:40:46.665
663.2048,681.4464,28/04/2016 13:40:46.681
689.75,626.5037,28/04/2016 13:40:46.698
668.9697,649.3704,28/04/2016 13:40:46.714
688.1913,631.2699,28/04/2016 13:40:46.731
655.4562,647.5372,28/04/2016 13:40:46.764
672.2222,649.201,28/04/2016 13:40:46.781
683.4526,653.0182,28/04/2016 13:40:46.798
678.2411,648.0012,28/04/2016 13:40:46.814
664.4854,639.8118,28/04/2016 13:40:46.831
668.7169,615.0327,28/04/2016 13:40:46.848
656.4908,626.9737,28/04/2016 13:40:46.864
665.6932,604.3176,28/04/2016 13:40:46.881
665.4657,611.8943,28/04/2016 13:40:46.900
686.7307,608.4977,28/04/2016 13:40:46.914
680.9875,606.0406,28/04/2016 13:40:46.931
673.5484,603.2491,28/04/2016 13:40:46.948
640.0228,603.2587,28/04/2016 13:40:46.964
642.6273,614.0465,28/04/2016 13:40:46.981
658.7708,597.9427,28/04/2016 13:40:46.998
672.9357,596.6929,28/04/2016 13:40:47.014
661.7792,594.8561,28/04/2016 13:40:47.031
627.1161,638.8855,28/04/2016 13:40:47.047
628.7825,632.0679,28/04/2016 13:40:47.064
589.3723,797.6982,28/04/2016 13:40:47.081
679.7194,609.8008,28/04/2016 13:40:47.116
638.1646,598.3524,28/04/2016 13:40:47.132
981.6293,571.561,28/04/2016 13:40:47.149
945.6528,540.4554,28/04/2016 13:40:47.165
704.3444,551.8641,28/04/2016 13:40:47.182
760.6,533.4254,28/04/2016 13:40:47.215
803.3342,537.0568,28/04/2016 13:40:47.199
824.8066,564.6177,28/04/2016 13:40:47.232
2123.3691,1014.3751,28/04/2016 13:40:47.248
878.7544,676.4262,28/04/2016 13:40:47.448
851.2449,590.8215,28/04/2016 13:40:47.465
819.2473,568.342,28/04/2016 13:40:47.482
841.1539,482.5457,28/04/2016 13:40:47.498
888.3254,522.8773,28/04/2016 13:40:47.514
806.885,611.4554,28/04/2016 13:40:47.548
887.1571,533.6199,28/04/2016 13:40:47.531
866.5298,580.2813,28/04/2016 13:40:47.564
913.0824,503.7414,28/04/2016 13:40:47.581
900.3805,599.3363,28/04/2016 13:40:47.598
911.3705,593.7861,28/04/2016 13:40:47.614
908.0247,592.1061,28/04/2016 13:40:47.631
896.6798,605.1013,28/04/2016 13:40:47.650
920.8073,599.0599,28/04/2016 13:40:47.664
943.0971,581.5264,28/04/2016 13:40:47.681
919.7506,585.0897,28/04/2016 13:40:47.698
916.0664,590.3018,28/04/2016 13:40:47.714
933.7931,604.5039,28/04/2016 13:40:47.748
941.6758,584.3728,28/04/2016 13:40:47.731
919.0826,580.5997,28/04/2016 13:40:47.764
923.6784,603.2321,28/04/2016 13:40:47.781
935.767,603.9322,28/04/2016 13:40:47.798
942.8027,612.1783,28/04/2016 13:40:47.814
937.4099,588.2065,28/04/2016 13:40:47.831
950.5787,605.6376,28/04/2016 13:40:47.848
935.4894,595.8809,28/04/2016 13:40:47.864
891.859,571.334,28/04/2016 13:40:47.881
898.192,578.5356,28/04/2016 13:40:47.897
892.6759,600.0153,28/04/2016 13:40:47.915
