CRX,CRY,TimeStamp, 
767.8795,461.6015,43:29.5,
761.5719,426.0854,43:29.5,
773.099,426.5438,43:29.6,
769.4878,439.8687,43:29.6,
764.5723,448.5313,43:29.6,
770.4545,472.6586,43:29.6,
786.0819,425.6028,43:29.7,
763.5685,463.3662,43:29.7,
785.9249,454.0903,43:29.7,
752.5544,465.9082,43:29.7,
763.9264,475.3711,43:29.7,
752.4702,468.1141,43:29.8,
756.5731,458.3458,43:29.8,
800.2007,462.9047,43:29.8,
772.76,432.2135,43:29.8,
857.8238,488.3112,43:29.8,
851.9822,475.6978,43:29.9,
837.4669,464.376,43:29.9,
857.2178,460.3569,43:29.9,
836.5352,470.4001,43:29.9,
846.824,465.2056,43:29.9,
837.0802,477.3233,43:29.9,
839.4624,473.6123,43:30.0,
842.9655,483.4093,43:30.0,
847.8357,495.2572,43:30.0,
832.839,477.4229,43:30.0,
829.3834,484.5251,43:30.1,
842.3925,483.7368,43:30.1,
842.8917,476.916,43:30.1,
840.0524,489.1738,43:30.2,
848.3591,457.7543,43:30.2,
828.0404,484.0188,43:30.2,
639.4798,542.8264,43:30.2,
647.0691,563.3039,43:30.3,
626.6483,541.0469,43:30.3,
636.5083,543.5164,43:30.3,
631.4603,569.935,43:30.3,
626.549,567.3411,43:30.3,
616.3298,549.5082,43:30.4,
631.2198,554.2415,43:30.4,
641.1266,565.8459,43:30.4,
626.0072,573.5972,43:30.4,
618.7618,564.6984,43:30.4,
617.4099,539.1202,43:30.4,
622.9025,561.606,43:30.5,
633.5437,586.9899,43:30.5,
608.8392,579.9928,43:30.5,
626.2253,566.7952,43:30.5,
656.5731,565.0135,43:30.5,
847.5076,523.1602,43:30.6,
759.6678,527.9624,43:30.5,
814.5367,530.5059,43:30.6,
806.2967,533.757,43:30.6,
807.7843,531.9779,43:30.6,
824.5792,544.2609,43:30.6,
821.7002,535.3051,43:30.7,
824.5792,544.2609,43:30.7,
821.3146,512.8831,43:30.7,
820.7728,523.765,43:30.7,
819.5707,525.931,43:30.7,
812.4396,544.4239,43:30.7,
815.6884,539.1269,43:30.8,
811.5292,525.6578,43:30.8,
828.8179,531.2047,43:30.8,
830.9679,518.4698,43:30.8,
817.9799,524.8912,43:30.8,
807.6744,543.5841,43:30.8,
818.9338,518.6992,43:30.9,
822.7574,524.8865,43:31.0,
805.422,532.537,43:31.0,
824.8143,528.1606,43:31.1,
824.3792,521.9514,43:31.1,
945.2856,524.8649,43:31.4,
832.3208,508.4802,43:31.4,
834.9308,490.8262,43:31.5,
821.131,480.3424,43:31.6,
850.9714,513.6537,43:31.6,
851.5081,490.2372,43:31.6,
837.4539,487.9993,43:31.6,
819.7675,497.7992,43:31.6,
833.6477,499.1181,43:31.7,
840.1892,500.3131,43:31.7,
831.0258,494.1124,43:31.7,
834.3218,516.4518,43:31.7,
839.4819,503.4758,43:31.8,
830.3488,473.3141,43:31.8,
825.5007,486.5204,43:31.8,
844.2502,465.1881,43:31.9,
836.2018,517.3616,43:31.9,
830.7938,507.8678,43:31.9,
753.9205,468.6216,43:32.0,
783.1067,504.7825,43:32.0,
766.4817,484.6962,43:32.0,
744.1902,491.8909,43:32.0,
745.7125,501.4931,43:32.0,
747.099,483.0544,43:32.1,
749.6031,482.0513,43:32.1,
743.1144,496.8315,43:32.2,
763.9183,517.3716,43:32.2,
772.3176,667.5869,43:32.3,
697.7229,786.1653,43:32.3,
747.6116,831.1652,43:32.3,
739.9633,842.4395,43:32.4,
744.2161,822.1004,43:32.4,
737.9276,829.7958,43:32.4,
743.0626,557.9668,43:32.5,
743.2231,341.4943,43:32.5,
742.9821,315.3253,43:32.5,
746.375,282.3927,43:32.5,
735.5331,300.5829,43:32.6,
744.5996,290.7275,43:32.6,
730.9741,280.0791,43:32.7,
729.279,304.1291,43:32.8,
740.0215,278.7155,43:32.7,
723.4506,310.186,43:32.8,
735.8,294.3668,43:32.8,
752.6257,282.6985,43:32.9,
734.3729,277.5263,43:32.9,
732.1173,288.6541,43:32.9,
725.3127,311.2316,43:32.9,
581.2109,437.283,43:32.9,
489.0682,582.8467,43:33.0,
472.9916,668.9457,43:33.0,
462.8227,690.5055,43:33.0,
467.6049,659.9442,43:33.0,
460.1644,696.6813,43:33.0,
466.2094,686.2369,43:33.1,
461.304,702.0507,43:33.1,
492.8745,671.6371,43:33.1,
485.9915,687.9493,43:33.1,
474.5079,698.4954,43:33.2,
473.918,681.9539,43:33.2,
477.8663,639.7161,43:33.2,
459.7369,632.2473,43:33.2,
484.5779,631.0952,43:33.3,
489.2451,638.9051,43:33.4,
476.1383,629.7448,43:33.4,
497.6188,605.0255,43:33.4,
471.8703,651.6133,43:33.4,
477.3109,643.2226,43:33.4,
476.4177,639.4374,43:33.5,
470.3213,643.9523,43:33.5,
326.1199,456.4001,43:33.5,
348.3242,451.6787,43:33.5,
323.8669,483.6384,43:33.6,
347.087,497.8038,43:33.7,
339.6018,470.5519,43:33.7,
332.2062,474.6632,43:33.7,
264.1461,471.1562,43:33.7,
208.2523,420.3248,43:33.7,
173.0588,435.8978,43:33.8,
180.2939,419.2546,43:33.8,
183.6268,416.627,43:33.8,
188.1213,396.9848,43:33.8,
178.6345,437.827,43:33.9,
161.3177,415.5959,43:33.9,
167.1714,407.555,43:33.9,
188.7728,396.5117,43:34.0,
