Name,Time,Count,POSX,POSY,POSZ,ROTX,ROTY,ROTZ,ROTW
Books,0,0,0,0,0,0,0,0,1
book D (36),0,0,-3.397,0.653,3.525,0,1,0,-1.629207E-07
paper (4),0,0,1.872,0.73,1.759,0,0.163065,0,-0.9866154
bookC (76),0,0,-3.09,0.048,3.535,0,1,0,-1.629207E-07
bookC (46),0,0,-3.431,1.363,3.535,0,1,0,-1.629207E-07
Plates paper and cloth,0,0,0,0,0,0,0,0,1
paintingLandscapeB,1.139984,1,-3.554,0.015,2.47,0.1830127,-0.6830128,0.1830128,0.6830127
paintingD,2.440033,3,3.975,1.3,3,0,0.7071068,0,0.7071067
bookC (86),0,0,-2.64,0.048,3.535,0,1,0,-1.629207E-07
plateDinner,0,0,2.79,0.6792,3.65,0,1,0,-1.629207E-07
plateDinner (1),0,0,2.79,0.6961,3.65,0,1,0,-1.629207E-07
bookC (30),0,0,0.1759999,0.05,3.527,0,1,0,-1.629207E-07
plateDinner (10),0,0,2.79,0.8942,3.65,0,1,0,-1.629207E-07
book D (43),0,0,-3.635,0.653,3.525,0,1,0,-1.629207E-07
bookC (17),0,0,-0.2220001,0.05,3.52,0,1,0,-1.629207E-07
bookCoversB,0,0,3.201,1.8139,3.433,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
bookC (39),0,0,0.976,1.0942,3.533,-0.7071068,0.7071067,1.152023E-07,-1.152023E-07
book D (1),0,0,-2.88,1.357,3.525,0,1,0,-1.629207E-07
paintingA,1.259979,2,3.975,1.3,-2,0,0.7071068,0,0.7071067
bookC (12),0,0,0.5253,0.05,3.527,0,1,0,-1.629207E-07
paper,0,0,1.691,0.73,-3.413,0,0.817999,0,-0.5752197
plateDinner (1),0,0,-2.647,0.738,0.234,0,0.1788022,0,0.983885
bookC (48),0,0,-3.581,1.363,3.541,0,1,0,-1.629207E-07
book D (42),0,0,-3.785,0.653,3.525,0,1,0,-1.629207E-07
bookC (14),0,0,0.5753,0.05,3.527,0,1,0,-1.629207E-07
book D (17),0,0,-2.542,1.357,3.542,0,1,0,-1.629207E-07
paper (1),0,0,1.852,0.73,1.269,0,0.817999,0,-0.5752197
bookC (19),0,0,-0.2720001,0.05,3.527,0,1,0,-1.629207E-07
bookC (23),0,0,-0.3720001,0.05,3.527,0,1,0,-1.629207E-07
book D,0,0,-0.5790001,0.682,3.527,0,1,0,-1.629207E-07
plateDinner (8),0,0,2.79,0.7727,3.65,0,1,0,-1.629207E-07
tableClothA,0,0,2.79,1.49,3.56,0,1,0,-1.629207E-07
book D (30),0,0,-2.765065,0.809,3.526922,-0.7070934,0.707119,-0.001082863,0.0006905579
bookC (71),0,0,-3.431,0.048,3.535,0,1,0,-1.629207E-07
bookC (32),0,0,-0.7688,0.05,3.527,0,1,0,-1.629207E-07
plateDinner (12),0,0,2.79,0.8652,3.65,0,1,0,-1.629207E-07
QuestD1,115.7393,3,800,450,0,0,0,0,1
QuestB2,0,0,800,450,0,0,0,0,1
TutorialPaper,36.96819,1,800,450,0,0,0,0,1
QuestB3,27.25195,1,800,450,0,0,0,0,1
QuestD2,26.72223,1,800,450,0,0,0,0,1
QuestB1,44.05313,3,800,450,0,0,0,0,1
QuestD3,134.5581,2,800,450,0,0,0,0,1
